gameid,gamedate,home_teamid,away_teamid,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100165,2021-11-10,1610612740,1610612760,0.2,0.2,105.2,92,108.2,107.4,25.6,19,5,4,6.8,7.2,94.4,88.4,0.42400000000000004,0.3822,33.6,39,0.37020000000000003,0.27880000000000005,16.8,19.4,0.7638,0.6881999999999999,46.6,47,20.2,15.6,11.2,16.4
22100170,2021-11-10,1610612747,1610612748,0.8,0.6,111.4,109.4,106.6,104.2,24.8,23.4,6.4,2.8,10.6,6.2,91.6,87.2,0.476,0.4438000000000001,29.6,32,0.34880000000000005,0.3996,19,22.8,0.7605999999999999,0.8503999999999999,45.6,49.8,20.6,21.2,16.4,15
22100169,2021-11-10,1610612744,1610612750,1,0.6,118,114.8,95.8,110.4,32.2,26,4.6,5.4,11.6,9.8,89.2,94.4,0.4848,0.4518,47.8,41.8,0.38480000000000003,0.3134,16.4,20,0.7658,0.8431999999999998,47.6,46.6,20.8,22.2,15,15.8
22100158,2021-11-10,1610612739,1610612764,0.4,0.4,104.2,105.6,106.6,105.4,26,21.2,4,6.6,9.2,8,84,85.4,0.47119999999999995,0.4548,29.4,33,0.3488,0.30179999999999996,21,24,0.7164,0.7874000000000001,41,46.8,15.8,19.6,16.8,15.8
22100168,2021-11-10,1610612756,1610612757,0.8,0,112.8,103,106,115.6,27.4,23.8,5.4,4.4,9.2,7.6,88,89.4,0.4848,0.44239999999999996,29.6,39.8,0.3256,0.3226,22.6,15.2,0.8010000000000002,0.7390000000000001,47.6,44.2,18.6,17,13.8,15.2
22100163,2021-11-10,1610612741,1610612742,0.6,0.6,106,97.6,98.8,105,21.2,21,5.4,4.2,8.4,8,89.8,90.6,0.42919999999999997,0.38499999999999995,27.8,39,0.30720000000000003,0.289,24.2,20.2,0.8402,0.8008,45.2,49.4,18,20,9.4,14.2
22100160,2021-11-10,1610612738,1610612761,0.4,1,103,109.4,113.4,97.8,21,21.4,6.4,3.8,7.8,10.8,87,94.8,0.4168,0.43099999999999994,35.2,33.8,0.38980000000000004,0.35839999999999994,20.6,18.8,0.8049999999999999,0.8374,43.4,50.8,17.8,18.2,17.4,12.8
22100159,2021-11-10,1610612753,1610612751,0.2,0.6,96.4,105,107,109.4,21.6,23.6,5.2,5.2,7.2,4.2,86.2,83.6,0.41899999999999993,0.45280000000000004,39.8,33.6,0.3294,0.40680000000000005,13.8,20,0.7908000000000001,0.8038000000000001,41.4,45.2,18.8,17,16.8,14.8
22100167,2021-11-10,1610612743,1610612754,0.8,0.2,100.6,106.4,92,111.8,24.4,21.6,3.6,5.8,9,7.2,87,88,0.46060000000000006,0.47000000000000003,37,31.8,0.2722,0.327,14.8,17.6,0.7032,0.7295999999999999,46.6,44.4,22,22,16.8,16.2
22100161,2021-11-10,1610612752,1610612749,0.4,0.8,113.4,113.8,116.4,103.8,22.4,22.2,7.2,5.6,7.2,9,90.6,88.2,0.44939999999999997,0.47380000000000005,39.8,35.8,0.3584,0.379,23,22.6,0.7968,0.7378,45,47.8,17.6,15.4,14.8,15
